iter	RMSE
0	1.099305072
1	1.07319696
2	1.046066847
3	1.019373844
4	0.9933268368
5	0.9686943573
6	0.9460846544
7	0.9221510086
8	0.8988402858
9	0.8768312428
10	0.855116554
11	0.8333975066
12	0.8132913632
13	0.7950453492
14	0.7764504487
15	0.7572257739
16	0.7379043361
17	0.7185094044
18	0.7010456488
19	0.683726486
20	0.6672961777
21	0.6500646493
22	0.6344540576
23	0.6193878076
24	0.6037469217
25	0.5896859566
26	0.5754925365
27	0.5620418315
28	0.5492635675
29	0.5359581075
30	0.523307078
31	0.5104793925
32	0.4990865766
33	0.4881424815
34	0.4766754883
35	0.4657276305
36	0.4548226243
37	0.4435120028
38	0.4329729289
39	0.4224447121
40	0.4123654399
41	0.4029894367
42	0.394879317
43	0.3856311948
44	0.3768439207
45	0.3678171467
46	0.3595280304
47	0.3512578862
48	0.3433533879
49	0.3349668568
50	0.3278280018
51	0.3205944639
52	0.3136188643
53	0.3064877718
54	0.300379435
55	0.2937273809
56	0.2879543534
57	0.2813574775
58	0.2761604165
59	0.2704044932
60	0.2641777579
61	0.2583887139
62	0.2532953024
63	0.2477980527
64	0.2428237567
65	0.2378713353
66	0.2330708114
67	0.2278682107
68	0.2227851917
69	0.2182114466
70	0.2137465765
71	0.2097134385
72	0.2049130931
73	0.2009724568
74	0.1973548922
75	0.1931353953
76	0.1893643299
77	0.1849475015
78	0.181012933
79	0.1774772628
80	0.1741795375
81	0.1707936733
82	0.1675960809
83	0.1644122812
84	0.161114671
85	0.1580817074
86	0.154884673
87	0.1514847017
88	0.1486429471
89	0.1455613616
90	0.1427316258
91	0.1400167643
92	0.1371400283
93	0.1347386953
94	0.1321087434
95	0.129582925
96	0.1273477221
97	0.1249611968
98	0.1226085083
99	0.1202603342
100	0.1179708166
101	0.1158687541
102	0.1139233554
103	0.1116887656
104	0.1099027922
105	0.1080762906
106	0.1063115877
107	0.1044698057
108	0.1027275918
109	0.1010060972
110	0.09920569752
111	0.09765491086
112	0.09614512823
113	0.09456768218
114	0.09325753822
115	0.09163725068
